team_id,tournament_id,team_name,tournament_name
1,1,SegFault Spartans,esport estravaganza
2,1,NullPointer Ninjas,esport estravaganza
3,1,OffByOne Offense,esport estravaganza
4,1,Pepsi Max Punishers,esport estravaganza
5,1,Chuck Norris Fan Club,esport estravaganza
6,1,IndentationError Invaders,esport estravaganza
7,1,Assembly Avengers,esport estravaganza
8,1,Datalab Dominators,esport estravaganza
9,1,Bomblab Bombers,esport estravaganza
10,1,StackOverflow Stackers,esport estravaganza
11,1,CacheHit Crusaders,esport estravaganza
12,1,WhileTrue Tryhards,esport estravaganza
13,1,Segmentation Foul,esport estravaganza
14,1,RaceCondition Racers,esport estravaganza
15,1,Undefined Behavior United,esport estravaganza
16,1,Pepsi Max Overflow,esport estravaganza
12,24,WhileTrue Tryhards,Glacier Masters
12,20,WhileTrue Tryhards,Sunset Showdown
12,23,WhileTrue Tryhards,NOWAYHOME 2025
2,24,NullPointer Ninjas,Teresa's Tournament
5,23,Chuck Norris Fan Club,NOWAYHOME 2025
1,28,SegFault Spartans,RU Open
2,28,NullPointer Ninjas,RU Open
3,28,OffByOne Offense,RU Open
4,28,Pepsi Max Punishers,RU Open
5,28,Chuck Norris Fan Club,RU Open
6,28,IndentationError Invaders,RU Open
7,28,Assembly Avengers,RU Open
8,28,Datalab Dominators,RU Open
9,28,Bomblab Bombers,RU Open
10,28,StackOverflow Stackers,RU Open
11,28,CacheHit Crusaders,RU Open
13,28,Segmentation Foul,RU Open
14,28,RaceCondition Racers,RU Open
15,28,Undefined Behavior United,RU Open
16,28,Pepsi Max Overflow,RU Open
12,28,WhileTrue Tryhards,RU Open
12,29,WhileTrue Tryhards,Hilmir's bumhole
12,26,WhileTrue Tryhards,ru
10,26,StackOverflow Stackers,ru
10,27,StackOverflow Stackers,ru
10,31,StackOverflow Stackers,Hallo25
2,29,NullPointer Ninjas,Hilmir's bumhole
2,30,NullPointer Ninjas,Purusteik Open
2,26,NullPointer Ninjas,ru
1,32,SegFault Spartans,testing
2,32,NullPointer Ninjas,testing
3,32,OffByOne Offense,testing
4,32,Pepsi Max Punishers,testing
5,32,Chuck Norris Fan Club,testing
6,32,IndentationError Invaders,testing
7,32,Assembly Avengers,testing
8,32,Datalab Dominators,testing
9,32,Bomblab Bombers,testing
10,32,StackOverflow Stackers,testing
11,32,CacheHit Crusaders,testing
13,32,Segmentation Foul,testing
14,32,RaceCondition Racers,testing
15,32,Undefined Behavior United,testing
